Date,"Space-based solar power","Thorium-based nuclear power"
2015-10-02,305,523
2015-10-03,231,440
2015-10-04,196,590
2015-10-05,381,601
2015-10-06,311,1462
2015-10-07,326,1652
2015-10-08,335,862
2015-10-09,289,639
2015-10-10,228,460
2015-10-11,255,495
2015-10-12,341,625
2015-10-13,333,755
2015-10-14,361,752
2015-10-15,495,588
2015-10-16,426,574
2015-10-17,246,479
2015-10-18,315,591
2015-10-19,386,638
2015-10-20,366,615
2015-10-21,311,937
2015-10-22,303,889
2015-10-23,295,665
2015-10-24,195,577
2015-10-25,207,548
2015-10-26,325,739
2015-10-27,522,752
2015-10-28,339,733
2015-10-29,414,669
2015-10-30,290,634
2015-10-31,221,513
2015-11-01,263,623
2015-11-02,329,714
2015-11-03,426,840
2015-11-04,368,714
2015-11-05,430,730
2015-11-06,306,683
2015-11-07,171,619
2015-11-08,209,556
2015-11-09,221,690
2015-11-10,273,663
2015-11-11,239,617
2015-11-12,285,652
2015-11-13,267,634
2015-11-14,229,465
2015-11-15,184,515
2015-11-16,278,628
2015-11-17,367,641
2015-11-18,318,659
2015-11-19,272,690
2015-11-20,274,563
2015-11-21,158,483
2015-11-22,244,35770
2015-11-23,293,1131
2015-11-24,334,574
2015-11-25,249,654
2015-11-26,260,602
2015-11-27,194,606
2015-11-28,198,618
2015-11-29,203,650
2015-11-30,289,885
2015-12-01,276,957
2015-12-02,329,943
2015-12-03,282,810
2015-12-04,286,695
2015-12-05,222,607
2015-12-06,282,715
2015-12-07,342,819
2015-12-08,325,852
2015-12-09,361,791
2015-12-10,289,776
2015-12-11,290,731
2015-12-12,300,942
2015-12-13,245,991
2015-12-14,315,1101
2015-12-15,305,840
2015-12-16,301,986
2015-12-17,296,723
2015-12-18,253,552
2015-12-19,173,475
2015-12-20,183,510
2015-12-21,202,567
2015-12-22,240,842
2015-12-23,226,743
2015-12-24,159,696
2015-12-25,137,638
2015-12-26,157,621
2015-12-27,193,540
2015-12-28,182,624
2015-12-29,223,501
2015-12-30,268,535
2015-12-31,182,490
2016-01-01,168,437
2016-01-02,181,559
2016-01-03,211,639
2016-01-04,274,636
2016-01-05,278,643
2016-01-06,261,681
2016-01-07,241,752
2016-01-08,261,697
2016-01-09,193,756
2016-01-10,238,556
2016-01-11,259,670
2016-01-12,286,731
2016-01-13,292,778
2016-01-14,276,781
2016-01-15,287,672
2016-01-16,256,561
2016-01-17,262,587
2016-01-18,311,693
2016-01-19,334,723
2016-01-20,324,682
2016-01-21,418,666
2016-01-22,352,689
2016-01-23,247,823
2016-01-24,287,819
2016-01-25,290,792
2016-01-26,298,820
2016-01-27,370,824
2016-01-28,326,854
2016-01-29,317,732
2016-01-30,263,740
2016-01-31,298,875
2016-02-01,336,894
2016-02-02,365,875
2016-02-03,291,867
2016-02-04,309,849
2016-02-05,304,749
2016-02-06,274,678
2016-02-07,285,714
2016-02-08,420,900
2016-02-09,443,805
2016-02-10,320,732
2016-02-11,328,709
2016-02-12,309,636
2016-02-13,220,609
2016-02-14,277,595
2016-02-15,374,690
2016-02-16,430,674
2016-02-17,455,664
2016-02-18,426,576
2016-02-19,430,551
2016-02-20,328,465
2016-02-21,384,568
2016-02-22,340,626
2016-02-23,351,626
2016-02-24,355,583
2016-02-25,341,616
2016-02-26,333,527
2016-02-27,276,434
2016-02-28,241,538
2016-02-29,334,530
2016-03-01,454,518
2016-03-02,485,590
2016-03-03,386,591
2016-03-04,430,525
2016-03-05,257,421
2016-03-06,307,509
2016-03-07,370,691
2016-03-08,350,616
2016-03-09,367,605
2016-03-10,278,634
2016-03-11,280,655
2016-03-12,274,551
2016-03-13,293,577
2016-03-14,364,697
2016-03-15,398,644
2016-03-16,377,617
2016-03-17,362,664
2016-03-18,387,605
2016-03-19,281,560
2016-03-20,303,530
2016-03-21,379,726
2016-03-22,317,3112
2016-03-23,270,775
2016-03-24,255,636
2016-03-25,217,562
2016-03-26,200,571
2016-03-27,280,550
2016-03-28,309,686
2016-03-29,338,610
2016-03-30,333,601
2016-03-31,314,604
2016-04-01,342,605
2016-04-02,234,496
2016-04-03,277,715
2016-04-04,304,691
2016-04-05,310,753
2016-04-06,320,679
2016-04-07,330,600
2016-04-08,272,532
2016-04-09,232,494
2016-04-10,281,544
2016-04-11,426,654
2016-04-12,453,611
2016-04-13,376,861
2016-04-14,317,648
2016-04-15,309,617
2016-04-16,282,480
2016-04-17,334,618
2016-04-18,309,662
2016-04-19,394,730
2016-04-20,313,659
2016-04-21,306,598
2016-04-22,319,529
2016-04-23,251,637
2016-04-24,337,623
2016-04-25,366,707
2016-04-26,336,1000
2016-04-27,325,750
2016-04-28,396,771
2016-04-29,339,539
2016-04-30,486,507
2016-05-01,283,500
2016-05-02,335,588
2016-05-03,328,638
2016-05-04,286,610
2016-05-05,252,643
2016-05-06,219,621
2016-05-07,217,434
2016-05-08,175,573
2016-05-09,287,677
2016-05-10,340,1965
2016-05-11,299,681
2016-05-12,295,727
2016-05-13,315,751
2016-05-14,197,624
2016-05-15,192,661
2016-05-16,273,582
2016-05-17,296,718
2016-05-18,322,649
2016-05-19,460,690
2016-05-20,277,567
2016-05-21,211,514
2016-05-22,271,554
2016-05-23,395,696
2016-05-24,336,771
2016-05-25,265,647
2016-05-26,368,590
2016-05-27,228,521
2016-05-28,165,474
2016-05-29,291,554
2016-05-30,282,638
2016-05-31,326,657
2016-06-01,376,591
2016-06-02,292,612
2016-06-03,296,648
2016-06-04,209,575
2016-06-05,211,598
2016-06-06,269,633
2016-06-07,298,620
2016-06-08,463,671
2016-06-09,278,680
2016-06-10,296,754
2016-06-11,221,566
2016-06-12,295,553
2016-06-13,294,549
2016-06-14,369,571
2016-06-15,338,528
2016-06-16,344,556
2016-06-17,287,541
2016-06-18,177,507
2016-06-19,234,478
2016-06-20,233,594
2016-06-21,406,593
2016-06-22,323,666
2016-06-23,252,669
2016-06-24,284,921
2016-06-25,263,833
2016-06-26,238,671
2016-06-27,255,629
2016-06-28,244,626
2016-06-29,247,528
2016-06-30,252,523
2016-07-01,228,519
2016-07-02,180,508
2016-07-03,221,422
2016-07-04,220,462
2016-07-05,296,435
2016-07-06,253,429
2016-07-07,274,424
2016-07-08,222,396
2016-07-09,213,361
2016-07-10,298,376
2016-07-11,343,437
2016-07-12,289,404
2016-07-13,224,412
2016-07-14,257,449
2016-07-15,263,349
2016-07-16,172,348
2016-07-17,251,400
2016-07-18,234,409
2016-07-19,277,470
2016-07-20,311,475
2016-07-21,280,468
2016-07-22,221,390
2016-07-23,250,369
2016-07-24,252,526
2016-07-25,336,473
2016-07-26,330,465
2016-07-27,310,542
2016-07-28,319,645
2016-07-29,284,864
2016-07-30,229,590
2016-07-31,270,514
2016-08-01,337,701
2016-08-02,302,612
2016-08-03,271,495
2016-08-04,261,539
2016-08-05,296,462
2016-08-06,214,403
2016-08-07,247,526
2016-08-08,301,497
2016-08-09,314,513
2016-08-10,279,475
2016-08-11,259,514
2016-08-12,262,509
2016-08-13,222,429
2016-08-14,236,413
2016-08-15,244,503
2016-08-16,275,526
2016-08-17,237,524
2016-08-18,262,592
2016-08-19,271,525
2016-08-20,230,447
2016-08-21,239,451
2016-08-22,307,504
2016-08-23,370,483
2016-08-24,381,577
2016-08-25,394,463
2016-08-26,361,441
2016-08-27,301,416
2016-08-28,382,444
2016-08-29,501,438
2016-08-30,474,572
2016-08-31,418,514
2016-09-01,340,443
2016-09-02,317,525
2016-09-03,238,529
2016-09-04,262,476
2016-09-05,281,608
2016-09-06,323,629
2016-09-07,356,560
2016-09-08,335,559
2016-09-09,353,534
2016-09-10,274,427
2016-09-11,320,577
2016-09-12,358,659
2016-09-13,360,603
2016-09-14,323,920
2016-09-15,340,1344
2016-09-16,328,926
2016-09-17,284,619
2016-09-18,316,873
2016-09-19,344,693
2016-09-20,330,1226
2016-09-21,376,1018
2016-09-22,360,763
2016-09-23,322,722
2016-09-24,263,598
2016-09-25,347,654
2016-09-26,362,698
2016-09-27,423,809
2016-09-28,473,765
2016-09-29,484,690
2016-09-30,405,591
2016-10-01,265,552
2016-10-02,316,598
2016-10-03,383,722
2016-10-04,472,689
2016-10-05,21356,757
2016-10-06,2142,723
2016-10-07,330,629
2016-10-08,266,527
2016-10-09,312,538
2016-10-10,376,710
2016-10-11,366,950
2016-10-12,362,868
2016-10-13,401,807
2016-10-14,445,741
2016-10-15,316,647
2016-10-16,343,2145
2016-10-17,502,3647
2016-10-18,430,778
2016-10-19,450,629
2016-10-20,363,683
2016-10-21,346,677
2016-10-22,254,585
2016-10-23,289,606
2016-10-24,348,614
2016-10-25,331,718
2016-10-26,360,733
2016-10-27,341,714
2016-10-28,291,552
2016-10-29,220,582
2016-10-30,315,580
2016-10-31,335,714
2016-11-01,322,700
2016-11-02,359,668
2016-11-03,352,689
2016-11-04,352,620
2016-11-05,299,577
2016-11-06,277,614
2016-11-07,424,723
2016-11-08,422,740
2016-11-09,311,606
2016-11-10,368,736
2016-11-11,320,768
2016-11-12,304,692
2016-11-13,298,635
2016-11-14,385,874
2016-11-15,343,872
2016-11-16,397,760
2016-11-17,424,840
2016-11-18,385,834
2016-11-19,320,757
2016-11-20,363,863
2016-11-21,442,1250
2016-11-22,450,1107
2016-11-23,341,890
2016-11-24,326,737
2016-11-25,288,685
2016-11-26,272,592
2016-11-27,337,838
2016-11-28,403,973
2016-11-29,428,1476
2016-11-30,397,1112
2016-12-01,405,852
2016-12-02,375,857
2016-12-03,310,690
2016-12-04,390,713
2016-12-05,456,828
2016-12-06,433,841
2016-12-07,383,811
2016-12-08,385,800
2016-12-09,375,736
2016-12-10,234,616
2016-12-11,282,585
2016-12-12,320,716
2016-12-13,962,649
2016-12-14,428,697
2016-12-15,333,638
2016-12-16,276,502
2016-12-17,225,558
2016-12-18,270,718
2016-12-19,320,744
2016-12-20,265,713
2016-12-21,338,670
2016-12-22,249,801
2016-12-23,210,622
2016-12-24,148,594
2016-12-25,191,505
2016-12-26,219,566
2016-12-27,231,571
2016-12-28,263,630
2016-12-29,235,680
2016-12-30,175,545
2016-12-31,158,479
2017-01-01,209,529
2017-01-02,305,711
2017-01-03,308,861
2017-01-04,264,845
2017-01-05,299,747
2017-01-06,278,706
2017-01-07,225,739
2017-01-08,277,837
2017-01-09,293,793
2017-01-10,285,809
2017-01-11,304,762
2017-01-12,294,1013
2017-01-13,287,797
2017-01-14,228,759
2017-01-15,304,757
2017-01-16,384,747
2017-01-17,394,825
2017-01-18,351,763
2017-01-19,360,748
2017-01-20,355,638
2017-01-21,242,516
2017-01-22,269,621
2017-01-23,334,680
2017-01-24,413,815
2017-01-25,347,860
2017-01-26,356,854
2017-01-27,295,682
2017-01-28,217,711
2017-01-29,282,729
2017-01-30,354,705
2017-01-31,350,734
2017-02-01,388,692
2017-02-02,343,700
2017-02-03,283,645
2017-02-04,217,587
2017-02-05,233,671
2017-02-06,348,730
2017-02-07,340,693
2017-02-08,424,731
2017-02-09,343,912
2017-02-10,296,798
2017-02-11,241,590
2017-02-12,250,676
2017-02-13,339,690
2017-02-14,382,695
2017-02-15,390,688
2017-02-16,401,665
2017-02-17,620,653
2017-02-18,289,657
2017-02-19,348,676
2017-02-20,365,771
2017-02-21,393,766
2017-02-22,386,718
2017-02-23,468,790
2017-02-24,362,713
2017-02-25,296,579
2017-02-26,336,804
2017-02-27,708,800
2017-02-28,500,744
2017-03-01,444,736
2017-03-02,386,844
2017-03-03,319,925
2017-03-04,252,595
2017-03-05,308,672
2017-03-06,344,741
2017-03-07,363,739
2017-03-08,374,662
2017-03-09,402,708
2017-03-10,349,655
2017-03-11,199,586
2017-03-12,359,627
2017-03-13,338,643
2017-03-14,379,741
2017-03-15,363,761
2017-03-16,379,878
2017-03-17,317,620
2017-03-18,295,508
2017-03-19,301,599
2017-03-20,404,698
2017-03-21,476,592
2017-03-22,396,654
2017-03-23,375,658
2017-03-24,349,540
2017-03-25,235,475
2017-03-26,253,546
2017-03-27,329,629
2017-03-28,362,723
2017-03-29,382,801
2017-03-30,374,823
2017-03-31,364,593
2017-04-01,248,507
2017-04-02,313,522
2017-04-03,399,632
2017-04-04,349,614
2017-04-05,338,662
2017-04-06,329,566
2017-04-07,288,553
2017-04-08,223,467
2017-04-09,251,603
2017-04-10,363,672
2017-04-11,310,593
2017-04-12,309,574
2017-04-13,265,581
2017-04-14,214,489
2017-04-15,186,468
2017-04-16,206,491
2017-04-17,338,590
2017-04-18,335,676
2017-04-19,328,707
2017-04-20,359,626
2017-04-21,256,633
2017-04-22,212,617
2017-04-23,240,823
2017-04-24,306,950
2017-04-25,358,723
2017-04-26,295,758
2017-04-27,256,731
2017-04-28,292,589
2017-04-29,236,498
2017-04-30,223,555
2017-05-01,308,670
2017-05-02,311,708
2017-05-03,293,680
2017-05-04,288,596
2017-05-05,239,527
2017-05-06,192,466
2017-05-07,209,474
2017-05-08,307,617
2017-05-09,288,705
2017-05-10,323,612
2017-05-11,267,610
2017-05-12,214,604
2017-05-13,192,526
2017-05-14,225,571
2017-05-15,310,529
2017-05-16,308,688
2017-05-17,293,811
2017-05-18,285,797
2017-05-19,268,789
2017-05-20,238,604
2017-05-21,234,2576
2017-05-22,305,763
2017-05-23,274,605
2017-05-24,276,608
2017-05-25,305,553
2017-05-26,219,467
2017-05-27,195,484
2017-05-28,217,545
2017-05-29,238,573
2017-05-30,262,619
2017-05-31,311,552
2017-06-01,253,777
2017-06-02,273,1004
2017-06-03,215,706
2017-06-04,222,626
2017-06-05,296,688
2017-06-06,341,766
2017-06-07,259,607
2017-06-08,235,653
2017-06-09,250,516
2017-06-10,196,492
2017-06-11,198,490
2017-06-12,273,513
2017-06-13,207,568
2017-06-14,268,533
2017-06-15,246,514
2017-06-16,217,451
2017-06-17,170,396
2017-06-18,162,437
2017-06-19,253,703
2017-06-20,281,677
2017-06-21,244,531
2017-06-22,235,584
2017-06-23,215,589
2017-06-24,205,505
2017-06-25,188,520
2017-06-26,223,531
2017-06-27,214,568
2017-06-28,246,558
2017-06-29,227,526
2017-06-30,194,507
2017-07-01,159,354
2017-07-02,181,1018
2017-07-03,239,682
2017-07-04,188,484
2017-07-05,254,537
2017-07-06,242,445
2017-07-07,220,582
2017-07-08,195,481
2017-07-09,213,442
2017-07-10,237,590
2017-07-11,239,576
2017-07-12,190,440
2017-07-13,288,450
2017-07-14,229,552
2017-07-15,188,399
2017-07-16,191,455
2017-07-17,268,467
2017-07-18,205,431
2017-07-19,228,584
2017-07-20,206,545
2017-07-21,234,451
2017-07-22,756,418
2017-07-23,227,493
2017-07-24,396,481
2017-07-25,283,474
2017-07-26,267,585
2017-07-27,256,481
2017-07-28,267,437
2017-07-29,245,379
2017-07-30,244,441
2017-07-31,293,487
2017-08-01,333,513
2017-08-02,278,517
2017-08-03,285,481
2017-08-04,217,428
2017-08-05,230,400
2017-08-06,229,467
2017-08-07,224,669
2017-08-08,308,607
2017-08-09,281,515
2017-08-10,250,479
2017-08-11,242,490
2017-08-12,167,425
2017-08-13,181,446
2017-08-14,245,471
2017-08-15,229,516
2017-08-16,254,485
2017-08-17,268,499
2017-08-18,229,393
2017-08-19,197,333
2017-08-20,213,374
2017-08-21,279,700
2017-08-22,258,1026
2017-08-23,252,637
2017-08-24,270,946
2017-08-25,267,686
2017-08-26,194,505
2017-08-27,237,517
2017-08-28,269,979
2017-08-29,288,810
2017-08-30,282,645
2017-08-31,281,584
2017-09-01,231,519
2017-09-02,181,484
2017-09-03,209,499
2017-09-04,244,530
2017-09-05,270,514
2017-09-06,276,530
2017-09-07,266,563
2017-09-08,228,531
2017-09-09,218,418
2017-09-10,248,504
2017-09-11,292,594
2017-09-12,295,652
2017-09-13,259,659
2017-09-14,310,609
2017-09-15,304,582
2017-09-16,204,552
2017-09-17,219,513
2017-09-18,239,540
2017-09-19,310,672
2017-09-20,275,532
2017-09-21,293,584
2017-09-22,347,493
2017-09-23,222,423
2017-09-24,235,537
2017-09-25,294,599
2017-09-26,313,568
2017-09-27,266,468
2017-09-28,230,452
2017-09-29,310,466
2017-09-30,242,402
2017-10-01,210,628
2017-10-02,237,492
2017-10-03,319,484
2017-10-04,337,481
2017-10-05,286,427
2017-10-06,247,423
2017-10-07,202,399
2017-10-08,353,444
2017-10-09,330,535
2017-10-10,299,589
2017-10-11,404,577
2017-10-12,320,518
2017-10-13,312,450
2017-10-14,221,380
2017-10-15,238,423
2017-10-16,342,508
2017-10-17,294,509
2017-10-18,273,474
2017-10-19,246,490
2017-10-20,250,483
2017-10-21,238,382
2017-10-22,245,457
2017-10-23,335,533
2017-10-24,333,543
2017-10-25,305,536
2017-10-26,286,539
2017-10-27,258,524
2017-10-28,223,345
2017-10-29,248,411
2017-10-30,386,516
2017-10-31,350,450
2017-11-01,396,473
2017-11-02,336,554
2017-11-03,307,485
2017-11-04,245,350
2017-11-05,265,406
2017-11-06,336,577
2017-11-07,276,481
2017-11-08,319,551
2017-11-09,345,574
2017-11-10,278,495
2017-11-11,205,383
2017-11-12,232,483
2017-11-13,340,620
2017-11-14,279,625
2017-11-15,310,597
2017-11-16,310,561
2017-11-17,293,539
2017-11-18,188,432
2017-11-19,227,492
2017-11-20,309,607
2017-11-21,297,634
2017-11-22,295,531
2017-11-23,268,486
2017-11-24,229,413
2017-11-25,214,369
2017-11-26,253,465
2017-11-27,329,523
2017-11-28,381,512
2017-11-29,332,508
2017-11-30,302,510
2017-12-01,235,446
2017-12-02,229,394
2017-12-03,277,387
2017-12-04,308,552
2017-12-05,402,575
2017-12-06,348,530
2017-12-07,280,582
2017-12-08,261,467
2017-12-09,202,410
2017-12-10,266,370
2017-12-11,302,521
2017-12-12,300,519
2017-12-13,294,500
2017-12-14,286,459
2017-12-15,246,385
2017-12-16,197,446
2017-12-17,276,442
2017-12-18,341,413
2017-12-19,236,438
2017-12-20,218,472
2017-12-21,229,392
2017-12-22,200,408
2017-12-23,162,361
2017-12-24,151,326
2017-12-25,163,371
2017-12-26,183,411
2017-12-27,192,441
2017-12-28,234,444
2017-12-29,219,384
2017-12-30,173,442
2017-12-31,139,431
2018-01-01,171,411
2018-01-02,407,435
2018-01-03,472,456
2018-01-04,296,430
2018-01-05,228,440
2018-01-06,208,441
2018-01-07,235,468
2018-01-08,260,506
2018-01-09,285,533
2018-01-10,323,536
2018-01-11,252,541
2018-01-12,261,506
2018-01-13,194,403
2018-01-14,239,480
2018-01-15,290,521
2018-01-16,279,518
2018-01-17,318,572
2018-01-18,460,494
2018-01-19,254,560
2018-01-20,223,430
2018-01-21,211,450
2018-01-22,355,624
2018-01-23,349,618
2018-01-24,337,593
2018-01-25,304,649
2018-01-26,214,618
2018-01-27,251,404
2018-01-28,232,509
2018-01-29,328,564
2018-01-30,320,603
2018-01-31,316,571
2018-02-01,274,607
2018-02-02,280,493
2018-02-03,247,381
2018-02-04,192,454
2018-02-05,366,569
2018-02-06,357,555
2018-02-07,446,555
2018-02-08,421,610
2018-02-09,303,531
2018-02-10,244,441
2018-02-11,291,494
2018-02-12,321,618
2018-02-13,335,602
2018-02-14,327,537
2018-02-15,351,612
2018-02-16,328,656
2018-02-17,260,450
2018-02-18,283,393
2018-02-19,324,526
2018-02-20,377,530
2018-02-21,307,516
2018-02-22,341,635
2018-02-23,289,727
2018-02-24,258,480
2018-02-25,397,542
2018-02-26,344,708
2018-02-27,374,605
2018-02-28,354,589
2018-03-01,299,578
2018-03-02,306,575
2018-03-03,231,452
2018-03-04,286,478
2018-03-05,322,770
2018-03-06,335,725
2018-03-07,324,558
2018-03-08,331,593
2018-03-09,296,579
2018-03-10,249,504
2018-03-11,271,601
2018-03-12,417,741
2018-03-13,345,672
2018-03-14,326,523
2018-03-15,361,562
2018-03-16,333,575
2018-03-17,242,515
2018-03-18,253,587
2018-03-19,363,917
2018-03-20,312,906
2018-03-21,358,832
2018-03-22,607,702
2018-03-23,310,711
2018-03-24,257,562
2018-03-25,263,586
2018-03-26,343,660
2018-03-27,341,703
2018-03-28,385,731
2018-03-29,390,686
2018-03-30,245,599
2018-03-31,377,612
2018-04-01,263,547
2018-04-02,338,586
2018-04-03,347,615
2018-04-04,377,700
2018-04-05,318,641
2018-04-06,225,506
2018-04-07,234,522
2018-04-08,229,545
2018-04-09,334,878
2018-04-10,327,578
2018-04-11,347,648
2018-04-12,326,647
2018-04-13,290,606
2018-04-14,227,430
2018-04-15,216,509
2018-04-16,297,607
2018-04-17,315,616
2018-04-18,354,595
2018-04-19,312,584
2018-04-20,348,581
2018-04-21,266,473
2018-04-22,288,440
2018-04-23,338,621
2018-04-24,290,606
2018-04-25,266,522
2018-04-26,297,554
2018-04-27,264,438
2018-04-28,168,428
2018-04-29,178,465
2018-04-30,276,605
2018-05-01,342,596
2018-05-02,299,636
2018-05-03,324,668
2018-05-04,313,570
2018-05-05,229,467
2018-05-06,236,522
2018-05-07,347,593
2018-05-08,282,561
2018-05-09,310,643
2018-05-10,285,527
2018-05-11,260,507
2018-05-12,192,375
2018-05-13,285,446
2018-05-14,372,574
2018-05-15,297,468
2018-05-16,257,474
2018-05-17,258,500
2018-05-18,239,458
2018-05-19,174,358
2018-05-20,179,405
2018-05-21,293,646
2018-05-22,258,553
2018-05-23,268,528
2018-05-24,246,516
2018-05-25,241,503
2018-05-26,166,408
2018-05-27,184,438
2018-05-28,233,474
2018-05-29,283,517
2018-05-30,271,496
2018-05-31,241,467
2018-06-01,240,476
2018-06-02,221,510
2018-06-03,182,470
2018-06-04,237,553
2018-06-05,290,592
2018-06-06,280,483
2018-06-07,278,583
2018-06-08,233,493
2018-06-09,159,411
2018-06-10,208,424
2018-06-11,241,458
2018-06-12,275,512
2018-06-13,212,466
2018-06-14,241,473
2018-06-15,204,392
2018-06-16,153,462
2018-06-17,153,425
2018-06-18,183,465
2018-06-19,267,396
2018-06-20,289,864
2018-06-21,217,2078
2018-06-22,256,439
2018-06-23,152,357
2018-06-24,175,365
2018-06-25,238,430
2018-06-26,242,405
2018-06-27,226,541
2018-06-28,224,499
2018-06-29,205,401
2018-06-30,163,367
2018-07-01,227,417
2018-07-02,298,439
2018-07-03,229,391
2018-07-04,218,436
2018-07-05,215,385
2018-07-06,166,375
2018-07-07,170,312
2018-07-08,184,402
2018-07-09,262,420
2018-07-10,286,384
2018-07-11,241,440
2018-07-12,248,485
2018-07-13,261,401
2018-07-14,212,354
2018-07-15,180,392
2018-07-16,252,414
2018-07-17,200,417
2018-07-18,230,413
2018-07-19,242,397
2018-07-20,260,393
2018-07-21,215,345
2018-07-22,296,391
2018-07-23,423,397
2018-07-24,281,417
2018-07-25,312,387
2018-07-26,325,413
2018-07-27,285,376
2018-07-28,213,382
2018-07-29,315,515
2018-07-30,420,512
2018-07-31,278,482
2018-08-01,357,426
2018-08-02,393,399
2018-08-03,382,369
2018-08-04,299,386
2018-08-05,235,396
2018-08-06,310,453
2018-08-07,299,507
2018-08-08,323,482
2018-08-09,256,451
2018-08-10,285,415
2018-08-11,190,332
2018-08-12,238,366
2018-08-13,271,485
2018-08-14,270,474
2018-08-15,257,460
2018-08-16,205,468
2018-08-17,258,444
2018-08-18,225,399
2018-08-19,236,464
2018-08-20,280,492
2018-08-21,248,500
2018-08-22,259,468
2018-08-23,325,519
2018-08-24,293,348
2018-08-25,174,346
2018-08-26,210,413
2018-08-27,237,454
2018-08-28,299,465
2018-08-29,272,491
2018-08-30,267,525
2018-08-31,243,418
2018-09-01,173,340
2018-09-02,199,339
2018-09-03,243,420
2018-09-04,274,459
2018-09-05,259,467
2018-09-06,272,498
2018-09-07,233,526
2018-09-08,232,410
2018-09-09,237,451
2018-09-10,288,532
2018-09-11,221,523
2018-09-12,253,606
2018-09-13,325,576
2018-09-14,232,486
2018-09-15,261,422
2018-09-16,250,484
2018-09-17,328,581
2018-09-18,252,538
2018-09-19,252,462
2018-09-20,278,464
2018-09-21,257,430
2018-09-22,225,351
2018-09-23,280,393
2018-09-24,324,539
2018-09-25,290,489
2018-09-26,282,578
2018-09-27,284,491
2018-09-28,255,380
2018-09-29,227,347
2018-09-30,194,385
2018-10-01,209,406
2018-10-02,264,424
2018-10-03,319,459
2018-10-04,315,460
2018-10-05,324,402
2018-10-06,232,336
2018-10-07,223,373
2018-10-08,297,583
2018-10-09,314,721
2018-10-10,304,621
2018-10-11,369,576
2018-10-12,293,476
2018-10-13,222,430
2018-10-14,277,479
2018-10-15,277,534
2018-10-16,347,602
2018-10-17,283,572
2018-10-18,301,815
2018-10-19,297,583
2018-10-20,230,434
2018-10-21,227,519
2018-10-22,311,622
2018-10-23,343,620
2018-10-24,347,553
2018-10-25,310,529
2018-10-26,359,523
2018-10-27,223,436
2018-10-28,270,409
2018-10-29,336,475
2018-10-30,393,532
2018-10-31,479,480
2018-11-01,310,558
2018-11-02,258,538
2018-11-03,237,414
2018-11-04,223,645
2018-11-05,269,916
2018-11-06,330,997
2018-11-07,245,882
2018-11-08,284,694
2018-11-09,289,551
2018-11-10,200,552
2018-11-11,259,556
2018-11-12,305,589
2018-11-13,339,703
2018-11-14,316,628
2018-11-15,384,953
2018-11-16,334,576
2018-11-17,218,516
2018-11-18,241,492
2018-11-19,296,609
2018-11-20,326,581
2018-11-21,247,577
2018-11-22,278,445
2018-11-23,219,487
2018-11-24,284,458
2018-11-25,251,478
2018-11-26,345,569
2018-11-27,352,719
2018-11-28,343,586
2018-11-29,333,601
2018-11-30,315,490
2018-12-01,242,420
2018-12-02,229,493
2018-12-03,380,696
2018-12-04,368,736
2018-12-05,325,641
2018-12-06,331,646
2018-12-07,309,613
2018-12-08,279,450
2018-12-09,306,504
2018-12-10,344,633
2018-12-11,387,835
2018-12-12,309,560
2018-12-13,307,572
2018-12-14,309,480
2018-12-15,244,533
2018-12-16,272,486
