Date,"Space-based solar power","Thorium-based nuclear power"
2015-07-01,304,362
2015-07-02,232,400
2015-07-03,311,335
2015-07-04,249,326
2015-07-05,248,497
2015-07-06,326,390
2015-07-07,351,478
2015-07-08,310,410
2015-07-09,266,471
2015-07-10,264,395
2015-07-11,259,399
2015-07-12,235,517
2015-07-13,272,598
2015-07-14,329,642
2015-07-15,394,607
2015-07-16,359,558
2015-07-17,257,555
2015-07-18,228,490
2015-07-19,238,572
2015-07-20,292,524
2015-07-21,318,478
2015-07-22,289,713
2015-07-23,261,576
2015-07-24,298,516
2015-07-25,178,417
2015-07-26,215,413
2015-07-27,284,543
2015-07-28,291,876
2015-07-29,308,542
2015-07-30,272,610
2015-07-31,262,570
2015-08-01,185,402
2015-08-02,229,412
2015-08-03,280,564
2015-08-04,308,756
2015-08-05,295,703
2015-08-06,271,606
2015-08-07,220,542
2015-08-08,205,498
2015-08-09,224,637
2015-08-10,212,666
2015-08-11,296,806
2015-08-12,226,698
2015-08-13,253,657
2015-08-14,224,653
2015-08-15,177,460
2015-08-16,187,542
2015-08-17,280,526
2015-08-18,306,568
2015-08-19,323,529
2015-08-20,263,548
2015-08-21,314,511
2015-08-22,213,443
2015-08-23,275,504
2015-08-24,323,478
2015-08-25,319,494
2015-08-26,256,489
2015-08-27,257,472
2015-08-28,216,462
2015-08-29,209,358
2015-08-30,258,394
2015-08-31,267,448
2015-09-01,260,465
2015-09-02,259,509
2015-09-03,290,514
2015-09-04,266,490
2015-09-05,198,368
2015-09-06,237,403
2015-09-07,293,473
2015-09-08,272,638
2015-09-09,312,548
2015-09-10,323,548
2015-09-11,283,716
2015-09-12,243,510
2015-09-13,231,534
2015-09-14,296,1600
2015-09-15,254,589
2015-09-16,275,1368
2015-09-17,305,708
2015-09-18,234,507
2015-09-19,220,431
2015-09-20,217,450
2015-09-21,308,657
2015-09-22,296,601
2015-09-23,268,564
2015-09-24,247,501
2015-09-25,272,525
2015-09-26,292,505
2015-09-27,294,533
2015-09-28,306,623
2015-09-29,343,625
2015-09-30,373,688
2015-10-01,345,508
